name,description,productImageUrl,collection,sku,visible
"8"" Straw Basket",,23f81e_11120b26cc4649a9bebc3f55220ebeb8~mv2.jpg,"8"" planter;Fall;Planters, Set Ins, and Novelties",7181407500,FALSE
"7"" Washed Willow",,23f81e_8bffcb0344ef4ac7aba80ebc83cec46f~mv2.jpg,"7"" planter;Fall;Planters, Set Ins, and Novelties",7181170200,FALSE
"5x10"" Fall Watering Can",,23f81e_2001019e8c834274a816fb483bdd729d~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7188402700,FALSE
"4"" Two Tone Wave w/ Flowering",,23f81e_a25d1a592b9a4178a70b6e7690e159b8~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010849100,FALSE
"4"" Grey Dotted w/ Flowering",,23f81e_1d1a39cfb5b949cb8bf1f193fcbfd933~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010488700,FALSE
"4"" Emboss Lines w/ Flowering",,23f81e_8481400d95464af59f9bec9b0f617080~mv2.jpg,"4"" pots;Fall;Planters, Set Ins, and Novelties",7010847700,FALSE
"8"" Embossed Metal",,23f81e_d669fde245194104896abd7ceb2e7263~mv2.jpg,"8"" planter;Planters, Set Ins, and Novelties;Fall",7181312100,FALSE
"7"" Bead Wave",,23f81e_0b637e7390df4c1d96409c7719e324c5~mv2.jpg,"7"" planter;Planters, Set Ins, and Novelties;Fall",7175281300,FALSE
"4"" Waveline w/ Assorted Flowering",,23f81e_518de4cad0a041388916079dc0a157eb~mv2.jpg,"4"" pots;Planters, Set Ins, and Novelties",7010490300,FALSE
"8"" Emboss Daisy",,23f81e_7b8747c0b0ed4856a13711fd6435266b~mv2.jpg,"8"" planter;Nature's Garden;Planters, Set Ins, and Novelties",7188680200,FALSE
"7"" Corrugated Metal",,23f81e_944c4a46e5ee4ec1ba45d402ae58278a~mv2.jpg,"7"" planter;Nature's Garden;Planters, Set Ins, and Novelties",7188330000,FALSE
"2"" Pilea - Peperomiodes",,23f81e_a02a8f017d214379864ce98087a86a7e~mv2.jpg,"2.25"" pots;Tropical Plants",1106241600,TRUE
"2"" Dieffenbachia",,23f81e_4be9122d1562478e94aa075dc0e4d790~mv2.jpg;23f81e_fb5b6f8cd28a4e33913bacab18eb0691~mv2.jpg,"2.25"" pots;Tropical Plants",1106060300,TRUE
"2"" Pilea - Ellen",,23f81e_d1546969ef034590a9d67f709bb183f8~mv2.jpg,"2.25"" pots;Tropical Plants",1106241700,TRUE
2' Sanseveria - Fernwood,,23f81e_058082be906946a2ab81f91c98b6100d~mv2.jpg,"2.25"" pots;Tropical Plants",1106281000,TRUE
"2"" Peperomia - Happy Bean",,23f81e_6ddb67c294af4fcdbd05b0baf42f2c96~mv2.jpg,"2.25"" pots;Tropical Plants",1106195900,TRUE
"2"" Pilea - Silver Tree",,23f81e_bb46f263e50a41fa91d571cb27994902~mv2.jpg,"2.25"" pots;Tropical Plants",1106241300,TRUE
"2"" Polka Dot",,23f81e_6614fba3051c4731b6d7e6d55e616bfd~mv2.jpg,"2.25"" pots;Tropical Plants",1106012000,TRUE
2' Nerve Plant - White Vein,,23f81e_70cea621470b4ec4a132f407f904c5bf~mv2.jpg,"2.25"" pots;Tropical Plants",1106086100,TRUE
"2"" Maranta - Red",,23f81e_71d18f6b8f114382a92202f8d03b4f00~mv2.jpg,"2.25"" pots;Tropical Plants",1106155100,TRUE
"2"" Maidenhair Fern",,23f81e_a1960b32e8964187b0157ef9c8c2c383~mv2.jpg,"2.25"" pots;Tropical Plants",1106011000,TRUE
"6"" Hoya Pubicalyx H.B",,23f81e_2f9f839f02fa44d795efcabf3d5abfb6~mv2.jpg,"6"" Hoya Basket;6"" pots;Hanging Baskets;Tropical Plants",2115118000,TRUE
"6"" Hoya Australis Grande Variegated H.B",,23f81e_2181c39d40514d3b9b6987a5a7f340a6~mv2.jpg,"6"" Hoya Basket;6"" pots;Hanging Baskets;Tropical Plants",2115181600,TRUE
"6"" Nepenthes - Pitcher Plant",,23f81e_ea6c60bf1b9043218f965732f48c8cc5~mv2.jpg,"6"" pots;Tropical Plants;Unexpected Finds;Hanging Baskets",2115182000,TRUE
"6"" Red Maranta H.B",,23f81e_a928cf19be544ca98478edb1f7266d87~mv2.jpg,"6"" pots;Tropical Plants;Hanging Baskets",2115155100,TRUE
